id,country_code,year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",co2_emissions,forest_area
191,ECA,2022,99.98044746,99.98218195,1198.6666,11.24125011
192,ECA,2023,,,1200.8516,
193,ECS,2021,99.97012387,99.86424191,6496.1299,38.54099949
194,ECS,2022,99.99046915,99.84273737,6389.8899,38.5583486
195,ECS,2023,,,6165.4863,
196,ECU,2021,100,100,39.8896,50.06265099
197,ECU,2022,100,100,42.2602,49.80387341
198,ECU,2023,,,45.3282,
199,EGY,2021,100,100,249.7365,0.045185594
200,EGY,2022,100,100,247.1607,0.045185594
201,EGY,2023,,,249.3319,
202,EMU,2021,100,100,2165.034,38.64076127
203,EMU,2022,100,100,2102.1807,38.69835321
204,EMU,2023,,,1918.0922,
205,ERI,2021,35.7,75.7,0.7122,8.692108346
206,ERI,2022,36,75.5,0.6674,8.666001453
207,ERI,2023,,,0.6685,
208,ESP,2021,100,100,237.5869,37.17275211
209,ESP,2022,100,100,235.4712,37.18279228
210,ESP,2023,,,217.2617,
211,EST,2021,100,100,12.3095,57.03859649
212,EST,2022,100,100,12.5882,57.0652937
213,EST,2023,,,11.4364,
214,ETH,2021,42.8,94.3,17.2771,15.05930418
215,ETH,2022,43,94,16.5391,14.99462063
216,ETH,2023,,,16.7077,
217,EUU,2021,99.99254881,99.99844341,2833.7549,39.88287959
218,EUU,2022,99.99428407,100,2756.9063,39.9291602
219,EUU,2023,,,2512.068,
220,FCS,2021,37.7428499,85.41214213,832.932,22.90700286
221,FCS,2022,36.02956269,85.51843539,801.6112,22.7884219
222,FCS,2023,,,812.4632,
223,FIN,2021,100,100,39.4364,73.72649966
224,FIN,2022,100,100,36.1537,73.72649966
225,FIN,2023,,,32.2689,
226,FJI,2021,86.8,96,2.0281,62.76409414
227,FJI,2022,86.8,97.6,2.1386,63.12972085
228,FJI,2023,,,2.2105,
229,FRA,2021,100,100,319.4248,31.66136128
230,FRA,2022,100,100,310.4579,31.81367419
231,FRA,2023,,,282.4275,
232,FRO,2021,100,100,0.0021,0.058394161
233,FRO,2022,100,99.9,0.0021,0.058394161
234,FRO,2023,,,0.0021,
235,FSM,2021,79.4,97.6,0,92.07142857
236,FSM,2022,79.4,98.6,0,92.11428571
237,FSM,2023,,,0,
238,GAB,2021,26.8,98.7,5.1377,91.27457601
239,GAB,2022,29,98.5,5.395,91.22847052
240,GAB,2023,,,4.9269,
241,GBR,2021,100,100,339.4953,13.22145538
242,GBR,2022,100,99.9,327.4607,13.25548712
243,GBR,2023,,,302.1033,
244,GEO,2021,100,99.9,12.1472,40.61591596
245,GEO,2022,100,100,12.6339,40.61591596
246,GEO,2023,,,12.8636,
247,GHA,2021,74,95.2,25.0095,35.12867716
248,GHA,2022,71.6,95,24.7887,35.1604431
249,GHA,2023,,,24.1638,
250,GIB,2021,100,100,0.6467,0
251,GIB,2022,100,100,0.675,
252,GIB,2023,,,0.6886,
253,GIN,2021,21.3,89.8,3.673,25.02441804
254,GIN,2022,21.3,91,3.8088,24.86163112
255,GIN,2023,,,3.7154,
256,GMB,2021,31.2,82.6,0.5975,23.41238142
257,GMB,2022,31.2,82.8,0.6241,22.8459585
258,GMB,2023,,,0.6058,
259,GNB,2021,15.8,60.5,0.3413,70.11273115
260,GNB,2022,15.8,61,0.3565,69.8125889
261,GNB,2023,,,0.346,
262,GNQ,2021,1.4,90.3,4.3582,86.98966132
263,GNQ,2022,1.4,89.8,4.1612,86.6916221
264,GNQ,2023,,,3.7768,
265,GRC,2021,100,100,54.1984,30.26997673
266,GRC,2022,100,100,54.9323,30.26997673
267,GRC,2023,,,51.674,
268,GRD,2021,,,0.1348,52.05882353
269,GRD,2022,,,0.1353,52.05882353
270,GRD,2023,,,0.1427,
271,GRL,2021,100,100,0.5484,0.000535997
272,GRL,2022,100,100,0.5758,0.000535997
273,GRL,2023,,,0.5822,
274,GTM,2021,98.1,97.6,20.2432,32.81261665
275,GTM,2022,98.2,97.7,19.9773,32.7043673
276,GTM,2023,,,21.3494,
277,GUM,2021,100,100,0.0004,51.85185185
278,GUM,2022,100,100,0.0004,51.85185185
279,GUM,2023,,,0.0004,
280,GUY,2021,91.2,97.5,3.2698,93.50334417
281,GUY,2022,91.6,98,3.3222,93.4565969
282,GUY,2023,,,3.3042,
283,HIC,2021,99.97674883,99.91967979,14137.1313,36.16946124
284,HIC,2022,99.97828179,99.90374984,14060.6136,36.18790677
285,HIC,2023,,,13682.1238,
286,HKG,2021,100,100,35.0751,
287,HKG,2022,100,100,32.6269,
288,HKG,2023,,,34.6728,
289,HND,2021,85.7,100,9.8822,56.6476897
290,HND,2022,86.8,100,10.3284,56.46045223
291,HND,2023,,,10.9458,
292,HPC,2021,31.15433406,78.37920413,261.9283,26.93475678
293,HPC,2022,30.78216959,78.59021168,264.4816,26.76308008
294,HPC,2023,,,265.2912,
295,HRV,2021,100,100,17.7201,34.69639028
296,HRV,2022,100,100,17.4425,34.74106505
297,HRV,2023,,,17.4565,
298,HTI,2021,,81.8,3.4098,12.48875181
299,HTI,2022,,83,3.3921,12.37590711
300,HTI,2023,,,3.5365,
301,HUN,2021,100,100,50.2535,22.48034955
302,HUN,2022,100,100,47.6012,22.46437541
303,HUN,2023,,,43.8252,
304,IBD,2021,99.21808688,99.47144894,24044.2778,33.77459967
305,IBD,2022,99.07106202,99.47619131,24197.2817,33.75809591
306,IBD,2023,,,25278.8521,
307,IBT,2021,83.36556164,97.00168866,25124.5192,31.70493663
308,IBT,2022,82.90132835,97.00645447,25272.8208,31.65202668
309,IBT,2023,,,26339.8032,
310,IDA,2021,52.47884532,87.1717423,1080.2414,25.91189055
311,IDA,2022,53.10510375,87.37338152,1075.5391,25.75755106
312,IDA,2023,,,1060.9511,
313,IDB,2021,63.47529816,93.84766629,564.7057,32.07906492
314,IDB,2022,64.06716624,93.83231465,553.0344,32.00360809
315,IDB,2023,,,532.6204,
316,IDN,2021,98.2,99.9,619.3274,48.36194487
317,IDN,2022,98.2,100,656.6692,48.04199007
318,IDN,2023,,,674.5359,
319,IDX,2021,47.34467011,83.09032687,515.5357,24.54610668
320,IDX,2022,48.25555203,83.45088535,522.5047,24.37440165
321,IDX,2023,,,528.3307,
322,IMN,2021,100,100,,6.070175439
323,IMN,2022,100,100,,6.070175439
324,IND,2021,99.3,100,2548.4833,24.35982901
325,IND,2022,99.3,100,2740.8206,24.44942974
326,IND,2023,,,2955.1817,
327,IRL,2021,100,100,35.3817,11.40978371
328,IRL,2022,100,100,34.7336,11.46784729
329,IRL,2023,,,32.4826,
330,IRN,2021,100,100,738.5829,6.635211094
331,IRN,2022,100,100,760.5537,6.641489492
332,IRN,2023,,,778.8023,
333,IRQ,2021,100,100,174.8366,1.900361184
334,IRQ,2022,100,100,190.4753,1.900361184
335,IRQ,2023,,,192.9082,
336,ISL,2021,100,100,3.2268,0.515719528
337,ISL,2022,100,100,3.2501,0.522265199
338,ISL,2023,,,3.0862,
339,ISR,2021,100,100,61.0907,6.469500924
340,ISR,2022,100,100,62.8541,
341,ISR,2023,,,61.255,
342,ITA,2021,100,100,334.2766,32.53089947
343,ITA,2022,100,100,332.7658,32.71253212
344,ITA,2023,,,305.4902,
345,JAM,2021,100,100,6.4391,55.47306556
346,JAM,2022,100,100,6.369,55.83204986
347,JAM,2023,,,6.8647,
348,JOR,2021,98.8,100,22.309,1.098047165
349,JOR,2022,98.9,100,22.3358,1.098047165
350,JOR,2023,,,23.579,
351,JPN,2021,100,100,1084.9216,68.40877915
352,JPN,2022,100,100,1009.9787,68.40877915
353,JPN,2023,,,944.7586,
354,KAZ,2021,100,100,244.8643,1.290483832
355,KAZ,2022,100,100,240.2204,1.301314553
356,KAZ,2023,,,239.8671,
357,KEN,2021,68.2,97.5,21.4878,6.344818498
358,KEN,2022,65.6,98,21.3896,6.344818498
359,KEN,2023,,,21.7337,
360,KGZ,2021,99.6,99.8,10.505,6.953180396
361,KGZ,2022,99.6,100,10.311,7.048279458
362,KGZ,2023,,,10.464,
363,KHM,2021,77.1,98.9,16.7775,44.82596873
364,KHM,2022,88,99,17.3545,43.94397235
365,KHM,2023,,,17.9701,
366,KIR,2021,,88.3,0.0893,1.456790123
367,KIR,2022,,86,0.0942,1.456790123
368,KIR,2023,,,0.0974,
369,KNA,2021,100,100,0.1122,42.30769231
370,KNA,2022,100,100,0.1127,42.30769231
371,KNA,2023,,,0.1188,
372,KOR,2021,100,100,631.0712,64.31352459
373,KOR,2022,100,100,587.8176,64.21106557
374,KOR,2023,,,573.5357,
375,KWT,2021,100,100,106.1441,0.350729517
376,KWT,2022,100,100,109.3973,0.350729517
377,KWT,2023,,,111.6335,
378,LAC,2021,96.32895264,99.50758915,1476.3583,46.76124505
379,LAC,2022,96.57158964,99.59213634,1475.6436,46.62600498
380,LAC,2023,,,1509.3466,
381,LAO,2021,100,100,23.8166,71.75476603
382,LAO,2022,100,100,24.5509,71.60528596
383,LAO,2023,,,26.0208,
384,LBN,2021,100,100,16.8591,14.06940371
385,LBN,2022,100,100,16.8712,14.12805474
386,LBN,2023,,,17.3321,
387,LBR,2021,8.1,49.5,1.6173,78.77055648
388,LBR,2022,14.9,53.7,1.68,78.45639535
389,LBR,2023,,,1.6369,
390,LBY,2021,,100,56.004,0.123327688
391,LBY,2022,,100,57.0466,0.123327688
392,LBY,2023,,,61.2586,
393,LCA,2021,100,100,0.28,34.04918033
394,LCA,2022,100,100,0.2812,34.04918033
395,LCA,2023,,,0.2966,
396,LCN,2021,96.5270885,99.55501698,1704.3707,46.3779013
397,LCN,2022,96.7965723,99.62639746,1710.7105,46.26063581
398,LCN,2023,,,1749.803,
399,LDC,2021,43.72714766,80.18192323,410.0622,25.96289867
400,LDC,2022,44.98705545,80.67115247,421.3394,25.77353272
401,LDC,2023,,,426.774,
402,LIC,2021,31.59658251,73.5838145,201.2712,20.15054151
403,LIC,2022,29.70003205,74.13894107,202.2724,20.0098955
404,LIC,2023,,,207.3662,
405,LIE,2021,100,100,,41.875
406,LIE,2022,100,100,,41.875
407,LKA,2021,100,100,22.7231,34.10701584
408,LKA,2022,100,100,19.9802,34.05593275
409,LKA,2023,,,20.518,
410,LMC,2021,87.29537654,96.84662754,4399.9702,30.52835215
411,LMC,2022,87.72574799,96.86475055,4574.466,30.4158107
412,LMC,2023,,,4838.7796,
413,LMY,2021,83.01105867,96.86002598,22562.0173,27.5860586
414,LMY,2022,82.53692088,96.87178388,22644.78,27.52057347
415,LMY,2023,,,23715.1458,
416,LSO,2021,37.7,80.6,0.7894,1.137022398
417,LSO,2022,37.7,83.6,0.8518,1.137022398
418,LSO,2023,,,0.8783,
419,LTE,2021,99.89436596,99.90882531,17804.0571,39.54829536
420,LTE,2022,99.89412796,99.93384585,17754.5933,39.56418813
421,LTE,2023,,,18580.4575,
422,LTU,2021,100,100,14.329,35.18074908
423,LTU,2022,100,100,13.1501,35.20364354
424,LTU,2023,,,13.1146,
425,LUX,2021,100,100,8.3252,34.45382721
426,LUX,2022,100,100,7.263,34.45382721
427,LUX,2023,,,7.0075,
428,LVA,2021,100,100,7.4271,54.87160534
429,LVA,2022,100,100,6.6579,54.93379399
430,LVA,2023,,,6.5511,
431,MAC,2021,100,100,2.8037,
432,MAC,2022,100,100,2.9203,
433,MAC,2023,,,3.0124,
434,MAF,2021,100,100,,24.8
435,MAF,2022,100,100,,24.8
436,MAR,2021,100,100,73.1264,12.89033542
437,MAR,2022,100,100,70.2969,12.91368788
438,MAR,2023,,,69.858,
439,MCO,2021,100,100,,0
440,MCO,2022,100,100,,0
441,MDA,2021,100,100,9.647,11.72277828
442,MDA,2022,100,100,9.4571,11.75129219
443,MDA,2023,,,9.9282,
444,MDG,2021,10.9,72.6,4.0821,21.34169251
445,MDG,2022,10.9,71.6,3.9899,21.3189737
446,MDG,2023,,,4.0991,
447,MDV,2021,100,100,2.6342,2.733333333
448,MDV,2022,100,100,2.7808,2.733333333
449,MDV,2023,,,2.8763,
450,MEA,2021,93.42949763,99.61731553,2777.9307,2.054079007
451,MEA,2022,93.61414816,99.74743455,2851.2318,2.04836982
452,MEA,2023,,,2904.0738,
453,MEX,2021,100,99.9,452.8786,33.72736783
454,MEX,2022,100,99.8,465.9444,33.66164197
455,MEX,2023,,,487.0939,
456,MHL,2021,100,96,0,52.22222222
457,MHL,2022,100,96.1,0,52.22222222
458,MHL,2023,,,0,
459,MIC,2021,91.3531995,98.5354098,22360.7461,29.3430035
460,MIC,2022,91.54432277,98.54917808,22442.5076,29.2956739
461,MIC,2023,,,23507.7796,
462,MKD,2021,100,100,7.6538,39.71015067
463,MKD,2022,100,100,8.384,39.71015067
464,MKD,2023,,,8.7637,
465,MLI,2021,18.3,96.9,6.5986,10.89666363
466,MLI,2022,18.3,99.7,6.8451,10.89666363
467,MLI,2023,,,6.6607,
468,MLT,2021,100,100,1.6273,1.4375
469,MLT,2022,100,100,1.7595,1.4375
470,MLT,2023,,,1.6846,
471,MMR,2021,62.8,93.6,31.8262,43.29014663
472,MMR,2022,62.8,93.9,32.3925,42.84626228
473,MMR,2023,,,33.3684,
474,MNA,2021,93.12413589,99.53637959,1579.9191,2.501107524
475,MNA,2022,93.31255891,99.69280669,1619.0745,2.505007817
476,MNA,2023,,,1642.1681,
477,MNE,2021,99.4,100,,61.48698885
478,MNE,2022,100,100,,61.48698885
479,MNG,2021,100,100,24.8485,9.09894466
480,MNG,2022,100,100,25.8905,9.098233215
481,MNG,2023,,,28.1171,
482,MNP,2021,100,100,0,52.95652174
483,MNP,2022,100,100,0,52.95652174
484,MNP,2023,,,0,
485,MOZ,2021,3.8,77.4,9.2885,46.41217312
486,MOZ,2022,5,79.4,10.0282,46.11933111
487,MOZ,2023,,,9.7401,
488,MRT,2021,,89.7,4.5915,0.298211604
489,MRT,2022,,91.6,4.7796,0.292896963
490,MRT,2023,,,4.6503,
491,MUS,2021,99.8,99.3,3.9939,19.43415123
492,MUS,2022,100,99,4.0491,19.45418127
493,MUS,2023,,,4.2136,
494,MWI,2021,5.6,54.2,6.2271,23.33156555
495,MWI,2022,5.6,54,5.9478,22.88608401
496,MWI,2023,,,6.4477,
497,MYS,2021,100,100,258.9144,58.02431898
498,MYS,2022,100,100,274.3424,57.87167859
499,MYS,2023,,,283.3235,
500,NAC,2021,100,100,5317.1408,36.61244105
501,NAC,2022,100,100,5362.2843,36.61037918
502,NAC,2023,,,5257.4019,
503,NAM,2021,33.2,74.7,3.9541,7.977614206
504,NAM,2022,33.2,74.8,4.2548,7.891362703
505,NAM,2023,,,4.3646,
506,NCL,2021,100,100,5.6077,45.8380744
507,NCL,2022,100,100,5.8818,45.83260394
508,NCL,2023,,,6.2086,
509,NER,2021,9.1,65.9,2.8588,0.842567301
510,NER,2022,7.7,66.1,2.905,0.832762296
511,NER,2023,,,2.8229,
512,NGA,2021,26.3,89.2,130.9817,23.5664877
513,NGA,2022,27,89,130.1066,23.38718886
514,NGA,2023,,,127.9417,
515,NIC,2021,66.3,100,5.1767,27.48487618
516,NIC,2022,66.3,100,5.4041,26.65389729
517,NIC,2023,,,5.7253,
518,NLD,2021,100,100,146.3147,11.00198099
