country_code,year,indicator_id,value
BRB,2021,1,4542503209.52524
BRB,2021,2,8997149800
BRB,2021,3,10550484100
BRB,2021,4,5275242050
BRB,2021,5,117.264737550552
BRB,2021,6,117.264737550552
BRB,2021,7,-0.254965880216531
BRB,2021,8,16099.7749737734
BRB,2021,9,31888.1639712632
BRB,2021,10,37393.5717905914
BRB,2021,11,18696.7858952957
BRB,2021,12,-0.413697039221532
BRB,2021,13,33002.4090513931
BRB,2021,14,..
BRB,2021,15,..
BRB,2021,16,10550484100
BRB,2021,17,..
BRB,2021,18,..
BRB,2021,38,0.171112417506756
BRB,2021,40,0.0118265512664033
BLR,2021,1,60073714183.7453
BLR,2021,2,126260200000
BLR,2021,3,176879000000
BLR,2021,4,69673747131.87
BLR,2021,5,140.090859985965
BLR,2021,6,140.090859985965
BLR,2021,7,2.43886212396819
BLR,2021,8,6457.74418441168
BLR,2021,9,13572.5929943129
BLR,2021,10,19013.9622481278
BLR,2021,11,7489.71894713888
BLR,2021,12,3.29081751550129
BLR,2021,13,54136.8684642265
BLR,2021,14,..
BLR,2021,15,..
BLR,2021,16,176878999999.999
BLR,2021,17,136.014450556595
BLR,2021,18,22.977148957555
BLR,2021,38,0.228290748119434
BLR,2021,40,1.00983526941144
BEL,2021,1,499595504127.06
BEL,2021,2,450283641000
BEL,2021,3,506023200000
BEL,2021,4,598494036474.409
BEL,2021,5,112.378766165302
BEL,2021,6,112.378766165302
BEL,2021,7,6.20255401586081
BEL,2021,8,43119.894333477
BEL,2021,9,38863.8065387299
BEL,2021,10,43674.6662730948
BEL,2021,11,51655.7883303715
BEL,2021,12,5.76632057182083
BEL,2021,13,143569.053961199
BEL,2021,14,..
BEL,2021,15,..
BEL,2021,16,506023199999.998
BEL,2021,17,177.390305424732
BEL,2021,18,45.6726621439773
BEL,2021,38,0.137059514893784
BEL,2021,40,0.0134810818415549
BLZ,2021,1,2302615266.50756
BLZ,2021,2,4619300000
BLZ,2021,3,4841100000
BLZ,2021,4,2420550000
BLZ,2021,5,104.801593315004
BLZ,2021,6,104.801593315004
BLZ,2021,7,17.7461701205679
BLZ,2021,8,5824.30394264153
BLZ,2021,9,11684.1956159921
BLZ,2021,10,12245.2231716016
BLZ,2021,11,6122.61158580079
BLZ,2021,12,16.3958057933036
BLZ,2021,13,29383.6242029365
BLZ,2021,14,..
BLZ,2021,15,..
BLZ,2021,16,4841099999.99998
BLZ,2021,17,99.3162710954122
BLZ,2021,18,37.7696165445427
BLZ,2021,38,0.0531988920476673
BLZ,2021,40,0.241103335046054
BEN,2021,1,15779238957.7761
BEN,2021,2,9328870657100
BEN,2021,3,9809693955700
BEN,2021,4,17690083519.9323
BEN,2021,5,105.154142621048
BEN,2021,6,105.154142621048
BEN,2021,7,7.1554516457574
BEN,2021,8,1176.37727640735
BEN,2021,9,695488.007052938
BEN,2021,10,731334.450848729
BEN,2021,11,1318.83497843483
BEN,2021,12,4.41335435119757
BEN,2021,13,8058.24598292819
BEN,2021,14,..
BEN,2021,15,..
BEN,2021,16,9809693955700.03
BEN,2021,17,48.0548608324409
BEN,2021,18,8.15436762219276
BEN,2021,38,0.138973212290688
BEN,2021,40,2.30442028320417
BMU,2021,1,6718028461.70344
BMU,2021,2,6334606000
BMU,2021,3,7286607000
BMU,2021,4,7286607000
BMU,2021,5,115.028574784288
BMU,2021,6,115.028574784288
BMU,2021,7,5.41909484048358
BMU,2021,8,103917.0347374
BMU,2021,9,97986.1093924019
BMU,2021,10,112712.025120653
BMU,2021,11,112712.025120653
BMU,2021,12,4.98533851039498
BMU,2021,13,..
BMU,2021,14,..
BMU,2021,15,..
BMU,2021,16,7286607000
BMU,2021,17,72.2026726568347
BMU,2021,18,26.9838250212542
BMU,2021,38,0.0555027143162425
BMU,2021,40,0
BTN,2021,1,2486224986.71556
BTN,2021,2,173172419843.044
BTN,2021,3,204664413162.738
BTN,2021,4,2768802959.60794
BTN,2021,5,118.185339991343
BTN,2021,6,118.185339991343
BTN,2021,7,4.42136740220592
BTN,2021,8,3206.20367057183
BTN,2021,9,223320.918705776
BTN,2021,10,263932.587044212
BTN,2021,11,3570.61257915864
BTN,2021,12,3.68935320488568
BTN,2021,13,26460.5789036614
BTN,2021,14,..
BTN,2021,15,..
BTN,2021,16,204664413162.737
