id,country_code,year,access_to_clean_water,"Government expenditure on education, total (% of GDP)",unemployment_rate,"Unemployment, total (% of total labor force) (national estimate)"
177,EAP,2021,97.9599209910295,2.98212432861328,4.12248591657027,4.54934786668444
178,EAP,2022,98.029656910797,2.88738679885864,4.22329838547477,
179,EAP,2023,,2.95115232467651,3.97239658895814,
180,EAR,2021,95.2423338887017,3.87249755859375,6.78633395860379,6.64266829633951
181,EAR,2022,95.1445282423272,3.61778378486633,5.71415089065227,5.60383750341637
182,EAR,2023,,,5.2602661302477,5.17835618086222
183,EAS,2021,98.1534259112018,3.33563995361328,4.05434245252657,4.43469657074071
184,EAS,2022,98.2159982994005,3.36847960948944,4.08953119146494,
185,EAS,2023,,,3.85771244035512,
186,ECA,2021,99.9616995610703,4.13622999191284,9.01039307351182,9.95991761251761
187,ECA,2022,99.9915983455152,4.10659122467041,7.81560463809743,
188,ECA,2023,,4.9514799118042,7.33376867158914,
189,ECS,2021,99.9881230235836,4.7901701927185,6.90965916550803,6.9366686527733
190,ECS,2022,99.9977343798245,4.54389047622681,5.85828628199525,5.8330717013591
191,ECS,2023,,,5.58873341804014,5.56992854863256
192,ECU,2021,100.0,3.64776992797852,4.552,4.504
193,ECU,2022,100.0,3.59897994995117,3.761,3.713
194,ECU,2023,,3.89365005493164,3.51,3.51
195,EGY,2021,100.0,,7.441,7.441
196,EGY,2022,100.0,,7.344,7.344
197,EGY,2023,,,7.334,6.753
198,EMU,2021,100.0,5.05046486854553,7.72209813329502,7.7215829402274
199,EMU,2022,100.0,,6.74901273938354,6.74811449074283
200,EMU,2023,,,6.5646094180748,6.56231846699686
201,ERI,2021,52.5,,6.177,
202,ERI,2022,55.4,,5.695,
203,ERI,2023,,,5.586,
204,ESP,2021,100.0,4.86506986618042,14.781,14.781
205,ESP,2022,100.0,4.31587886810303,12.917,12.917
206,ESP,2023,,,12.179,12.179
207,EST,2021,100.0,5.2632098197937,6.178,6.178
208,EST,2022,100.0,,5.571,5.571
209,EST,2023,,,6.378,6.378
210,ETH,2021,54.2,4.06524896621704,3.935,3.935
211,ETH,2022,55.0,3.73649501800537,3.409,
212,ETH,2023,,,3.402,
213,EUU,2021,99.9969197066502,4.80319976806641,7.01183843029148,7.01143906960952
214,EUU,2022,100.0,,6.14302856971608,6.14233076507892
215,EUU,2023,,,6.02944529696582,6.02780114319405
216,FCS,2021,57.8332255929662,3.67454195022583,6.77761944075494,
217,FCS,2022,57.9092443338508,,5.60917621194441,
218,FCS,2023,,,5.20087833966654,
219,FIN,2021,100.0,6.53825998306274,7.617,7.617
220,FIN,2022,100.0,,6.719,6.719
221,FIN,2023,,,7.151,7.151
222,FJI,2021,92.1,4.85268640518188,4.701,
223,FJI,2022,92.0,3.93839550018311,4.446,
224,FJI,2023,,4.24679803848267,4.322,
225,FRA,2021,100.0,5.43038988113403,7.874,7.871
226,FRA,2022,100.0,,7.308,7.303
227,FRA,2023,,,7.335,7.335
228,FRO,2021,100.0,,,
229,FRO,2022,100.0,,,
230,FSM,2021,83.6,,,
231,FSM,2022,85.3,,,
232,GAB,2021,91.8,2.70079278945923,21.218,
233,GAB,2022,93.5,2.20773649215698,20.399,
234,GAB,2023,,,20.278,
235,GBR,2021,100.0,5.90458011627197,4.826,4.865
236,GBR,2022,100.0,4.95917558670044,3.73,3.768
237,GBR,2023,,,3.984,4.025
238,GEO,2021,100.0,3.59441995620728,11.791,
239,GEO,2022,100.0,3.75498008728027,11.647,
240,GEO,2023,,3.73861002922058,11.537,
241,GHA,2021,86.3,3.41949439048767,3.384,3.195
242,GHA,2022,85.1,2.90529441833496,3.084,2.87
243,GHA,2023,,,3.063,
244,GIB,2021,100.0,,,
245,GIB,2022,100.0,,,
246,GIN,2021,46.8,2.04074811935425,5.827,
247,GIN,2022,47.7,1.98561489582062,5.267,
248,GIN,2023,,,5.244,
249,GMB,2021,63.7,3.04477691650391,6.269,
250,GMB,2022,65.4,2.74282312393188,6.076,
251,GMB,2023,,2.69659471511841,6.479,6.479
252,GNB,2021,35.8,,3.031,
253,GNB,2022,37.4,,2.666,2.666
254,GNB,2023,,,2.65,
255,GNQ,2021,66.8,,8.976,
256,GNQ,2022,67.0,,8.455,
257,GNQ,2023,,,8.367,
258,GRC,2021,100.0,4.08201456069946,14.656,14.657
259,GRC,2022,100.0,,12.426,12.426
260,GRC,2023,,,11.066,11.023
261,GRD,2021,93.7,4.09030342102051,,13.035
262,GRD,2022,94.2,3.93536496162415,,
263,GRD,2023,,,,6.34
264,GRL,2021,100.0,,,
265,GRL,2022,100.0,,,
266,GTM,2021,97.9,3.10634994506836,2.174,2.174
267,GTM,2022,99.1,3.22940993309021,3.051,3.051
268,GTM,2023,,3.17938995361328,2.344,2.344
269,GUM,2021,100.0,,5.991,
270,GUM,2022,100.0,,5.454,
271,GUM,2023,,,5.363,
272,GUY,2021,92.9,,14.557,
273,GUY,2022,93.0,,12.013,
274,GUY,2023,,,12.025,
275,HIC,2021,99.9797671921069,4.80319976806641,5.52627993407203,5.56223172935179
276,HIC,2022,99.9797265292838,,4.47915987611736,4.50499449531726
277,HIC,2023,,,4.32742379174678,4.35977463623864
278,HKG,2021,100.0,4.00030994415283,5.174,5.174
279,HKG,2022,100.0,3.72866010665894,4.318,4.318
280,HKG,2023,,3.80310010910034,2.949,2.949
281,HND,2021,94.1,5.81050157546997,8.506,8.506
282,HND,2022,94.4,4.44157886505127,8.774,8.774
283,HND,2023,,4.04616022109985,6.07,6.071
284,HPC,2021,48.0199412207435,3.37334215641022,4.99025451599025,
285,HPC,2022,48.6142457774215,3.44491457939148,4.44664203690213,
286,HPC,2023,,,4.22661765181006,
287,HRV,2021,100.0,4.05666017532349,7.608,7.608
288,HRV,2022,100.0,,6.96,6.96
289,HRV,2023,,,6.086,6.086
290,HTI,2021,47.2,1.24275183677673,15.28,
291,HTI,2022,49.3,1.27466893196106,14.635,
292,HTI,2023,,,14.556,
293,HUN,2021,100.0,4.68406009674072,4.045,4.045
294,HUN,2022,100.0,,3.609,3.609
295,HUN,2023,,,4.107,4.107
296,IBD,2021,99.1095265515065,3.99156606197357,6.33890972820408,6.44650178199768
297,IBD,2022,98.9687616451153,3.74442005157471,5.60153415826182,5.74849307226586
298,IBD,2023,,,5.16481549355938,
299,IBT,2021,90.0209807963201,3.83533418178559,6.17168860176086,6.32672599649243
300,IBT,2022,89.9492953913669,3.59078752994538,5.42390521920667,
301,IBT,2023,,,5.03559497830806,
302,IDA,2021,65.598211852635,3.26533710956573,5.63088102209667,
303,IDA,2022,66.1102001807559,3.44491457939148,4.86219567527372,
304,IDA,2023,,,4.6258035699256,
305,IDB,2021,76.7309985115853,2.9738941192627,5.98291664974636,
306,IDB,2022,77.3201892139766,2.95159220695496,4.93203945664766,
307,IDB,2023,,,4.51808369615567,
308,IDN,2021,99.2,1.03221750259399,3.827,3.827
309,IDN,2022,100.0,0.863943338394165,3.462,3.462
310,IDN,2023,,1.27517092227936,3.308,3.308
311,IDX,2021,60.0180074994697,3.32718992233276,5.44549655001938,
312,IDX,2022,60.5063653924991,3.51197004318237,4.82557394978687,
313,IDX,2023,,,4.68393546436256,
314,IMN,2021,100.0,,,
315,IMN,2022,100.0,,,
316,IND,2021,99.6,4.63514137268066,6.38,6.38
317,IND,2022,99.2,4.12072849273682,4.822,4.822
318,IND,2023,,,4.172,4.172
319,IRL,2021,100.0,3.00598001480103,6.364,6.364
320,IRL,2022,100.0,,4.501,4.501
321,IRL,2023,,,4.288,4.288
322,IRN,2021,100.0,,9.282,9.282
323,IRN,2022,100.0,3.06036734580994,9.085,9.085
324,IRN,2023,,2.92892384529114,9.041,
325,IRQ,2021,100.0,,16.173,16.173
326,IRQ,2022,100.0,,15.511,
327,IRQ,2023,,,15.447,
328,ISL,2021,100.0,8.21780967712402,6.029,6.029
329,ISL,2022,100.0,7.13966512680054,3.789,3.789
330,ISL,2023,,,3.518,3.518
331,ISR,2021,100.0,6.18401002883911,4.812,4.812
332,ISR,2022,100.0,6.45624446868896,3.695,3.695
333,ISR,2023,,,3.596,3.371
334,ITA,2021,100.0,4.21828985214233,9.497,9.497
335,ITA,2022,100.0,,8.069,8.069
336,ITA,2023,,,7.627,7.627
337,JAM,2021,100.0,5.63123989105225,5.188,5.188
338,JAM,2022,100.0,5.35435009002686,4.083,4.083
339,JAM,2023,,5.65453672409058,4.4,3.022
340,JOR,2021,99.9,3.13837003707886,19.837,19.837
341,JOR,2022,100.0,3.16022992134094,18.2,18.2
342,JOR,2023,,,17.969,16.622
343,JPN,2021,100.0,3.33563995361328,2.828,2.809
344,JPN,2022,100.0,3.23762130737305,2.6,2.615
345,JPN,2023,,,2.6,2.6
346,KAZ,2021,100.0,4.38569402694702,5.546,
347,KAZ,2022,100.0,4.45820236206055,4.86,4.86
348,KAZ,2023,,,4.821,
349,KEN,2021,76.5,4.89040184020996,5.693,5.693
350,KEN,2022,76.0,4.51101779937744,5.707,
351,KEN,2023,,3.96229314804077,5.567,
352,KGZ,2021,99.7,6.17235136032104,4.096,5.149
353,KGZ,2022,99.7,7.1688437461853,4.043,4.767
354,KGZ,2023,,6.82694673538208,3.991,
355,KHM,2021,82.5,3.01162648200989,0.396,0.396
356,KHM,2022,92.3,2.88349270820618,0.231,
357,KHM,2023,,2.95115232467651,0.225,
358,KIR,2021,92.8,14.1951599121094,,
359,KIR,2022,94.4,,,
360,KNA,2021,100.0,2.78379011154175,,
361,KNA,2022,100.0,3.63147068023682,,
362,KOR,2021,100.0,4.86627006530762,3.639,3.639
363,KOR,2022,100.0,,2.857,2.857
364,KOR,2023,,,2.675,2.675
365,KWT,2021,100.0,7.76246690750122,3.002,
366,KWT,2022,100.0,6.58236503601074,2.174,
367,KWT,2023,,5.02626085281372,2.127,
368,LAC,2021,98.1372854860676,4.16809344291687,9.23355868723715,9.28039725103236
369,LAC,2022,98.4758275506394,3.8139615058899,6.90218174932878,6.89505518094411
370,LAC,2023,,,6.11953093081959,6.04310814337263
