id,country_code,year,GDP (constant 2015 US$),gdp,GDP growth (annual %),inflation_rate,trade_balance,Trade in services (% of GDP)
471,MNE,2023,5177944070.4817,7530593375.22034,6.33769754243548,10.5429703323513,118.542754014976,55.1829185877031
472,MNG,2021,13749955731.6936,15286441737.6686,1.63676957736662,14.4200654807454,119.098078437771,21.6158947250089
473,MNG,2022,14441951078.838,17146471713.748,5.0327096366527,17.7147124177501,136.327929944516,26.9750795884561
474,MNG,2023,15513848972.8704,20325121393.9074,7.4221127615025,21.7690280161027,142.864246599181,28.3699014179664
475,MNP,2021,768812121.212121,914000000.0,4.96987951807229,0.545723837893178,78.8840262582057,
476,MNP,2022,896763636.363636,1096000000.0,16.6427546628408,2.80318995750133,93.1569343065693,
477,MOZ,2021,18651030677.5113,16168055475.4449,2.37743572761507,4.5505652081862,112.078964458333,20.9919164050873
478,MOZ,2022,19465045724.9322,18883528581.3734,4.36445074535436,9.15161419934587,135.279578416991,19.7154478827249
479,MOZ,2023,20523332839.0076,20954220983.5473,5.43685912188634,5.30134150828523,105.627503637428,14.3761601413285
480,MRT,2021,7198481873.57489,9222536364.01272,0.742715395138262,7.46487321650835,88.3068737571235,11.4887674103283
481,MRT,2022,7687691068.95683,9557966698.25369,6.79600510182286,-0.61236174643426,102.025899125696,13.0805547159888
482,MRT,2023,8187943518.06282,10651709411.4594,6.50718719858594,3.37147741701096,91.4705715873539,11.7467180328524
483,MUS,2021,12257000314.8444,11484348857.8529,3.40379866177662,3.15720035090573,98.0000292393386,23.0286353994581
484,MUS,2022,13345407871.3997,12927979286.0453,8.87988519700977,9.56592044781137,118.339828499599,36.0722651778715
485,MUS,2023,14274019706.2322,14644524819.0054,6.95828740328457,8.507830178109,107.903855233762,36.4038237117409
486,MWI,2021,11426314939.8368,12378129750.9872,4.55829212016083,8.15296842929594,,8.5351262755807
487,MWI,2022,11531564448.5797,12429060150.742,0.921115069005936,17.1668303930955,,11.505953820187
488,MWI,2023,11749794461.0779,12712150082.0792,1.89245798756383,22.8067220172078,,11.5878852976887
489,MYS,2021,356134704342.139,373784823672.946,3.31534954399166,5.67593848764116,134.035994690727,15.6040448153495
490,MYS,2022,387694727478.777,407605841348.235,8.86182187578046,6.40348511820096,146.505418280787,18.9366911707701
491,MYS,2023,401479163711.428,399705169318.477,3.55548715410509,-1.87225562537837,132.064307278667,23.7344453205036
492,NAC,2021,22620877183850.0,25695929788464.2,5.99687628753878,4.56598550261971,28.4051151113957,6.28948341998656
493,NAC,2022,23211640827497.6,28176204349422.0,2.61158592059087,7.12948085421044,30.3787156958012,6.89043938180061
